GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reservas-server,org.eu.rubensa.uniovi.reservas.web.controller,HomeController,0,42,0,0,0,10,0,3,0,3
reservas-server,org.eu.rubensa.uniovi.reservas,ReservasServerApplication,0,8,0,0,0,3,0,2,0,2
